Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Cost of goods,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Meta: schema_brand,Meta: schema_mpn,Meta: _dtb_manufacturer_sku,Meta: _dtb_mpn,Meta: schema_condition,Meta: _dtb_brand_key,Meta: _dtb_brand_label,Meta: _dtb_product_kind,Meta: _dtb_commerce_mode,Meta: _dtb_category_key,Meta: _dtb_display_category_key,Meta: _dtb_is_parts,Meta: _dtb_parent_product_sku,Meta: _dtb_variation_axis,Meta: _dtb_variation_value,Meta: _dtb_variation_label,Meta: _dtb_default_variation_sku,Meta: _dtb_variation_sort,Meta: _dtb_inherit_parent_image,Meta: _dtb_schematic_brand,Meta: _dtb_schematic_group,Meta: _dtb_schematic_position,Meta: _dtb_replacement_part_for,Meta: _dtb_compatible_tool_skus,Meta: _dtb_brand,Meta: _dtb_specs_json,Meta: _includes_0_name,Meta: _includes_0_sku,Meta: _includes_1_name,Meta: _includes_1_sku,Meta: _includes_2_name,Meta: _includes_2_sku,Meta: _includes_3_name,Meta: _includes_3_sku,Meta: _includes_4_name,Meta: _includes_4_sku,Meta: _includes_5_name,Meta: _includes_5_sku,Meta: _includes_6_name,Meta: _includes_6_sku,Meta: _includes_7_name,Meta: _includes_7_sku,Meta: _includes_8_name,Meta: _includes_8_sku,Meta: _includes_9_name,Meta: _includes_9_sku,Meta: _includes_10_name,Meta: _includes_10_sku,Meta: _includes_11_name,Meta: _includes_11_sku,Meta: _includes_12_name,Meta: _includes_12_sku,Meta: _includes_13_name,Meta: _includes_13_sku,Meta: _includes_14_name,Meta: _includes_14_sku,Meta: _includes_15_name,Meta: _includes_15_sku,Meta: _includes_16_name,Meta: _includes_16_sku,Meta: _includes_17_name,Meta: _includes_17_sku,Meta: _includes_18_name,Meta: _includes_18_sku,Meta: _includes_19_name,Meta: _includes_19_sku,Meta: _dtb_schematic_id,Meta: _dtb_schematic_category,Meta: _dtb_schematic_page,Meta: _dtb_schematic_variant,Meta: _dtb_schematic_url,Meta: _dtb_seo_title,Meta: _dtb_seo_description,Meta: _dtb_seo_focus_kw,Meta: _dtb_seo_canonical,Meta: _dtb_seo_noindex,Slug,meta:product_family,meta:series,meta:model,Meta: _dtb_map_price
simple,CFB11A,,Door Stop,1,0,visible,Replacement door stop for Columbia Tools Corner Flusher Box units.,<p>The Columbia Tools CFB11A Door Stop is a replacement component designed for use with Columbia Corner Flusher Box tools. This part serves as a direct replacement for the original door stop assembly.</p>,,,taxable,,1,,,0,0,,,,,1,,,3.00,1.95,Drywall Finishing Tools > Parts,"CFB11A, Columbia Tools, Corner Flusher Box, Repair Parts",,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_cfb11a_01.webp,,,,,,,,,284,Columbia Tools,,,,,,Columbia Tools,CFB11A,,,NewCondition,columbia-tools,Columbia Tools,part,quote_only,parts,parts,1,,,,,,,0,columbia-tools,columbia-corner-flusher-box,,,,Columbia Tools,"[{""label"": ""Brand"", ""value"": ""Columbia Tools""}, {""label"": ""Part Number"", ""value"": ""CFB11A""}, {""label"": ""Model"", ""value"": ""CFB11A""}, {""label"": ""Tool Groups"", ""value"": ""Corner Flusher Box""}, {""label"": ""Condition"", ""value"": ""New""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Columbia Tools CFB11A Door Stop | Corner Flusher Box Part,Genuine Columbia Tools CFB11A door stop replacement component for Corner Flusher Box drywall finishing tools.,Columbia CFB11A,/product/columbia-tools-door-stop-cfb11a/,,columbia-tools-door-stop-cfb11a,Corner Flusher Box,Columbia Replacement Parts,CFB11A,
simple,FFB32,,Door Stop,1,0,visible,"The Columbia Tools FFB32 Door Stop is a replacement part compatible with Columbia Flat Finishing Boxes, Hinged Nailspotters, and Corner Flusher Boxes.","<p>The Columbia Tools FFB32 Door Stop is a replacement component designed for use with Columbia Tools finishing equipment. This part is compatible with Columbia Flat Finishing Boxes, Hinged Nailspotters, and Corner Flusher Boxes.</p><h3>Compatibility</h3><ul><li>Flat Finishing Boxes</li><li>Hinged Nailspotters</li><li>Corner Flusher Boxes</li></ul>",,,taxable,,1,,,0,0,0.01,,,,1,,,3.00,1.95,Drywall Finishing Tools > Parts,"Columbia Tools, Corner Flusher Box, FFB32, Flat Finishing Box, Hinged Nailspotter, Repair Parts",,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_ffb32_01.webp,,,,,,,,,39,Columbia Tools,,,,,,Columbia Tools,FFB32,,,NewCondition,columbia-tools,Columbia Tools,part,quote_only,parts,parts,1,,,,,,,0,columbia-tools,"columbia-flat-finishing-box, columbia-hinged-nailspotter, columbia-corner-flusher-box",,,,Columbia Tools,"[{""label"": ""Brand"", ""value"": ""Columbia Tools""}, {""label"": ""Part Number"", ""value"": ""FFB32""}, {""label"": ""Model"", ""value"": ""FFB32""}, {""label"": ""Tool Groups"", ""value"": ""Flat Finishing Box, Hinged Nailspotter, Corner Flusher Box""}, {""label"": ""Condition"", ""value"": ""New""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Columbia Tools FFB32 Door Stop for Finishing Boxes,"Replacement door stop (FFB32) for Columbia Tools flat finishing boxes, hinged nailspotters, and corner flusher boxes.",Columbia Tools FFB32,/product/columbia-tools-door-stop-ffb32/,,columbia-tools-door-stop-ffb32,Columbia Replacement Parts,Finishing Box Components,FFB32,
simple,CT78,,Drive Chain,1,0,visible,The Columbia CT78 Drive Chain is a replacement part designed for use with Columbia Automatic Taper heads.,<p>The Columbia CT78 Drive Chain is a replacement component designed for use with Columbia Automatic Taper heads. This part facilitates mechanical operation within the taper assembly.</p>,,,taxable,,1,,,0,0,0.01,,,,1,,,66.00,51.20,Drywall Finishing Tools > Parts,"Automatic Taper Head, Columbia Tools, CT78, Repair Parts",,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_ct78_01.webp,,,,,,,,,101,Columbia Tools,,,,,,Columbia Tools,CT78,,,NewCondition,columbia-tools,Columbia Tools,part,quote_only,parts,parts,1,,,,,,,0,columbia-tools,columbia-automatic-taper-head,,,,Columbia Tools,"[{""label"": ""Brand"", ""value"": ""Columbia Tools""}, {""label"": ""Part Number"", ""value"": ""CT78""}, {""label"": ""Model"", ""value"": ""CT78""}, {""label"": ""Tool Groups"", ""value"": ""Automatic Taper Head""}, {""label"": ""Condition"", ""value"": ""New""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Columbia CT78 Drive Chain | Automatic Taper Part,Replace your worn drive chain with the genuine Columbia CT78. Designed for compatibility with Columbia Automatic Taper heads.,Columbia CT78 Drive Chain,/product/columbia-tools-ct78-drive-chain/,,columbia-ct78-drive-chain,Columbia Automatic Taper Parts,Automatic Taper Head,CT78,
simple,CT70,,Drive Shaft,1,0,visible,The Columbia Tools CT70 Drive Shaft is a replacement component designed for the Automatic Taper Head assembly.,"<p>The Columbia Tools CT70 Drive Shaft is a replacement component designed for use within the Automatic Taper Head assembly. This part serves as a direct replacement for the original drive shaft, maintaining the mechanical configuration of the taper head.</p>",,,taxable,,1,,,0,0,0.01,,,,1,,,33.00,21.45,Drywall Finishing Tools > Parts,"Automatic Taper Head, Columbia Tools, CT70, Repair Parts",,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_ct70_01.webp,,,,,,,,,95,Columbia Tools,,,,,,Columbia Tools,CT70,,,NewCondition,columbia-tools,Columbia Tools,part,quote_only,parts,parts,1,,,,,,,0,columbia-tools,columbia-automatic-taper-head,,,,Columbia Tools,"[{""label"": ""Brand"", ""value"": ""Columbia Tools""}, {""label"": ""Part Number"", ""value"": ""CT70""}, {""label"": ""Model"", ""value"": ""CT70""}, {""label"": ""Tool Groups"", ""value"": ""Automatic Taper Head""}, {""label"": ""Condition"", ""value"": ""New""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Columbia Tools CT70 Drive Shaft for Automatic Taper Head,"Replace your worn drive shaft with the genuine Columbia Tools CT70, designed specifically for the Automatic Taper Head assembly.",Columbia Tools CT70,/product/columbia-tools-drive-shaft-ct70/,,columbia-tools-drive-shaft-ct70,Columbia Automatic Taper Parts,Automatic Taper Head,CT70,
simple,CT87,,Engraved Cover Plate Cap,1,0,visible,The Columbia Tools CT87 Engraved Cover Plate Cap is a replacement part for Columbia Automatic Taper Heads.,<p>The Columbia Tools CT87 Engraved Cover Plate Cap is a replacement component designed for use with Columbia Automatic Taper Heads.</p>,,,taxable,,1,,,0,0,,,,,1,,,42.00,27.30,Drywall Finishing Tools > Parts,"Automatic Taper Head, Columbia Tools, CT87, Repair Parts",,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_ct87_01.webp,,,,,,,,,109,Columbia Tools,,,,,,Columbia Tools,CT87,,,NewCondition,columbia-tools,Columbia Tools,part,quote_only,parts,parts,1,,,,,,,0,columbia-tools,columbia-automatic-taper-head,,,,Columbia Tools,"[{""label"": ""Brand"", ""value"": ""Columbia Tools""}, {""label"": ""Part Number"", ""value"": ""CT87""}, {""label"": ""Model"", ""value"": ""CT87""}, {""label"": ""Tool Groups"", ""value"": ""Automatic Taper Head""}, {""label"": ""Condition"", ""value"": ""New""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Columbia Tools CT87 Engraved Cover Plate Cap,Replace your worn cover plate cap with the genuine Columbia Tools CT87. Designed for Columbia Automatic Taper Heads.,Columbia Tools CT87,/product/columbia-tools-engraved-cover-plate-cap-ct87/,,columbia-tools-ct87-engraved-cover-plate-cap,Columbia Automatic Taper Head,Automatic Taper Parts,CT87,
simple,HH5,,Extension Housing,1,0,visible,The Columbia Tools HH5 Extension Housing is a replacement part designed for use with the Matrix Handle system.,"<p>The Columbia Tools HH5 Extension Housing is a replacement component designed for the Matrix Handle system. This housing serves as a structural element within the handle assembly, supporting the extension and retraction functionality of the tool.</p>",,,taxable,,1,,,0,0,0.01,,,,1,,,33.00,21.45,Drywall Finishing Tools > Parts,"Columbia Tools, HH5, Matrix Handle, Repair Parts",,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_hh5_01.webp,,,,,,,,,242,Columbia Tools,,,,,,Columbia Tools,HH5,,,NewCondition,columbia-tools,Columbia Tools,part,quote_only,parts,parts,1,,,,,,,0,columbia-tools,columbia-matrix-handle,,,,Columbia Tools,"[{""label"": ""Brand"", ""value"": ""Columbia Tools""}, {""label"": ""Part Number"", ""value"": ""HH5""}, {""label"": ""Model"", ""value"": ""HH5""}, {""label"": ""Tool Groups"", ""value"": ""Matrix Handle""}, {""label"": ""Condition"", ""value"": ""New""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Columbia Tools HH5 Extension Housing | Matrix Handle Part,"Replace a worn or damaged component with the Columbia Tools HH5 Extension Housing, designed specifically for the Matrix Handle drywall finishing system.",Columbia Tools HH5,/product/columbia-tools-matrix-handle-extension-housing-hh5/,,columbia-tools-matrix-handle-extension-housing-hh5,Matrix Handle System,Matrix Series,HH5,
simple,HH30,,Extension Release Trigger,1,0,visible,The Columbia Tools HH30 Extension Release Trigger is a replacement part for the Columbia Matrix Handle series.,<p>The Columbia Tools HH30 Extension Release Trigger is a replacement part designed for the Columbia Matrix Handle series. This component facilitates the mechanical release and locking function of the extension handle assembly.</p>,,,taxable,,1,,,0,0,0.01,,,,1,,,14.25,9.26,Drywall Finishing Tools > Parts,"Columbia Tools, HH30, Matrix Handle, Repair Parts",,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_hh30_01.webp,,,,,,,,,244,Columbia Tools,,,,,,Columbia Tools,HH30,,,NewCondition,columbia-tools,Columbia Tools,part,quote_only,parts,parts,1,,,,,,,0,columbia-tools,columbia-matrix-handle,,,,Columbia Tools,"[{""label"": ""Brand"", ""value"": ""Columbia Tools""}, {""label"": ""Part Number"", ""value"": ""HH30""}, {""label"": ""Model"", ""value"": ""HH30""}, {""label"": ""Tool Groups"", ""value"": ""Matrix Handle""}, {""label"": ""Condition"", ""value"": ""New""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Columbia Tools HH30 Extension Release Trigger,Replacement extension release trigger for Columbia Tools Matrix Handle series drywall finishing tools.,Columbia HH30,/product/columbia-tools-extension-release-trigger-hh30/,,columbia-tools-hh30-extension-release-trigger,Columbia Matrix Handle Parts,Matrix Handle,HH30,
simple,CT130,,Extension Shaft,1,0,visible,The Columbia Tools CT130 Extension Shaft is a replacement component designed for the Columbia Automatic Taper body.,<p>The Columbia Tools CT130 Extension Shaft is a replacement part designed for use within the Columbia Automatic Taper body. This component serves as a direct replacement for the original shaft to maintain the mechanical function of the automatic taper.</p><h3>Features</h3><ul><li>Compatible with Columbia Automatic Taper body assemblies</li><li>Genuine Columbia Tools replacement part</li><li>Engineered for direct fitment within the taper body</li></ul>,,,taxable,,1,,,0,0,0.01,,,,1,,,32.50,13.97,Drywall Finishing Tools > Parts,"Automatic Taper Body, Columbia Tools, CT130, Repair Parts",,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_ct130_01.webp,,,,,,,,,308,Columbia Tools,,,,,,Columbia Tools,CT130,,,NewCondition,columbia-tools,Columbia Tools,part,quote_only,parts,parts,1,,,,,,,0,columbia-tools,columbia-automatic-taper-body,,,,Columbia Tools,"[{""label"": ""Brand"", ""value"": ""Columbia Tools""}, {""label"": ""Part Number"", ""value"": ""CT130""}, {""label"": ""Model"", ""value"": ""CT130""}, {""label"": ""Tool Groups"", ""value"": ""Automatic Taper Body""}, {""label"": ""Condition"", ""value"": ""New""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Columbia Tools CT130 Extension Shaft for Automatic Taper,"Replace your worn automatic taper components with the Columbia Tools CT130 Extension Shaft, a genuine replacement part for Columbia Automatic Taper bodies.",Columbia CT130,/product/columbia-tools-extension-shaft-ct130/,,columbia-tools-extension-shaft-ct130,Automatic Taper Parts,Columbia Automatic Taper Body,CT130,
variable,AH7,,Frame Tension Spring,1,0,visible,"Genuine Columbia Tools replacement frame tension spring for angle heads. Available in 2&quot;, 2.5&quot;, 3&quot;, and 3.5&quot; sizes to maintain proper tool tension.","<p>The Columbia Tools Frame Tension Spring (AH7) is a replacement component designed for use with Columbia Angle Heads. These springs maintain the mechanical tension required for consistent operation during drywall finishing applications.</p><h3>Available Sizes</h3><ul><li>2""</li><li>2.5""</li><li>3""</li><li>3.5""</li></ul>",,,taxable,,1,,,0,0,,,,,1,,,,,Drywall Finishing Tools > Parts,"AH7, Columbia Tools, Frame Tension Spring, Repair Parts",,"https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_ah7_2_01.webp, https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_ah7_2_5_01.webp, https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_ah7_3_5_01.webp",,,,,,,,,161,Columbia Tools,Size,"2"", 2.5"", 3"", 3.5""",1,0,"2""",Columbia Tools,AH7,,,NewCondition,columbia-tools,Columbia Tools,part,quote_only,parts,parts,1,,,,,AH7-2,,0,columbia-tools,columbia-angle-head,,,,Columbia Tools,"[{""label"":""Brand"",""value"":""Columbia Tools""},{""label"":""Part Number"",""value"":""AH7""},{""label"":""Model"",""value"":""AH7""},{""label"":""Tool Groups"",""value"":""Angle Head""},{""label"":""Size"",""value"":""2\"", 2.5\"", 3\"", 3.5\""""},{""label"":""Condition"",""value"":""New""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Columbia Tools AH7 Frame Tension Spring | Angle Head Parts,"Replace worn tension springs on your Columbia Tools Angle Heads. Available in 2"", 2.5"", 3"", and 3.5"" sizes for precise tool performance.",Columbia AH7 Frame Tension Spring,/product/columbia-tools-frame-tension-spring-ah7/,,columbia-frame-tension-spring-ah7,Columbia Angle Head Parts,AH7 Series,AH7,
variation,AH7-2,,"Frame Tension Spring - 2""",1,0,visible,This 2-inch frame tension spring is a genuine Columbia Tools replacement part designed to maintain proper mechanical tension in 2-inch Angle Heads.,"<p>The Columbia Tools Frame Tension Spring (AH7-2) is a replacement component designed for 2-inch Columbia Angle Heads. This spring maintains the mechanical tension necessary for consistent performance during drywall corner finishing applications.</p><h3>Specifications</h3><ul><li><strong>Part Number:</strong> AH7-2</li><li><strong>Compatibility:</strong> 2"" Columbia Angle Head</li><li><strong>Brand:</strong> Columbia Tools</li></ul>",,,taxable,,1,,,0,0,0.01,,,,0,,,12.50,0.79,,,,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_ah7_2_01.webp,,,AH7,,,,,,1,Columbia Tools,Size,"2""",,0,,Columbia Tools,AH7-2,,,NewCondition,columbia-tools,Columbia Tools,part,quote_only,parts,parts,1,AH7,Size,"2""","2""",,1,0,columbia-tools,columbia-angle-head,,,,Columbia Tools,"[{""label"":""Brand"",""value"":""Columbia Tools""},{""label"":""Part Number"",""value"":""AH7-2""},{""label"":""Model"",""value"":""AH7""},{""label"":""Tool Groups"",""value"":""Angle Head""},{""label"":""Size"",""value"":""2\""""},{""label"":""Condition"",""value"":""New""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Columbia Tools 2"" Frame Tension Spring | AH7-2",Replacement 2-inch frame tension spring for Columbia Tools Angle Heads. Maintains consistent mechanical tension for drywall finishing.,Columbia Tools 2 inch frame tension spring,/product/columbia-tools-frame-tension-spring-2-ah7-2/,,columbia-tools-frame-tension-spring-2-ah7-2,Frame Tension Spring,Columbia Angle Head Parts,AH7-2,
variation,AH7-2.5,,"Frame Tension Spring - 2.5""",1,0,visible,"Genuine Columbia Tools 2.5&quot; Frame Tension Spring for AH7 series angle heads, designed to maintain consistent mechanical tension for drywall finishing tools.","<p>The Columbia Tools Frame Tension Spring (AH7-2.5) is a replacement component designed for 2.5-inch Columbia Angle Heads. This spring is engineered to maintain the mechanical tension required for consistent operation during drywall finishing applications.</p><h3>Specifications</h3><ul><li><strong>Brand:</strong> Columbia Tools</li><li><strong>Part Number:</strong> AH7-2.5</li><li><strong>Tool Group:</strong> Angle Head</li><li><strong>Size:</strong> 2.5""</li></ul>",,,taxable,,1,,,0,0,0.01,,,,0,,,2.00,0.79,,,,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_ah7_2_5_01.webp,,,AH7,,,,,,2,Columbia Tools,Size,"2.5""",,0,,Columbia Tools,AH7-2.5,,,NewCondition,columbia-tools,Columbia Tools,part,quote_only,parts,parts,1,AH7,Size,"2.5""","2.5""",,2,0,columbia-tools,columbia-angle-head,,,,Columbia Tools,"[{""label"":""Brand"",""value"":""Columbia Tools""},{""label"":""Part Number"",""value"":""AH7-2.5""},{""label"":""Model"",""value"":""AH7""},{""label"":""Tool Groups"",""value"":""Angle Head""},{""label"":""Size"",""value"":""2.5\""""},{""label"":""Condition"",""value"":""New""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Columbia Tools Frame Tension Spring - 2.5"" | AH7-2.5","Genuine Columbia Tools 2.5"" Frame Tension Spring for AH7 series angle heads. Maintain consistent tension in your drywall finishing tools.",Columbia Tools AH7-2.5,/product/columbia-tools-frame-tension-spring-2-5-ah7-2-5/,,columbia-tools-frame-tension-spring-2-5-ah7-2-5,Columbia Angle Head Parts,AH7 Series,AH7-2.5,
variation,AH7-3,,"Frame Tension Spring - 3""",1,0,visible,"Genuine Columbia Tools 3-inch frame tension spring for AH7 angle heads, designed to maintain proper mechanical tension during drywall finishing.",<p>The Columbia Tools Frame Tension Spring (AH7-3) is a replacement component designed for 3-inch Columbia Angle Heads. This spring maintains the mechanical tension required for consistent operation during drywall finishing applications.</p><h3>Specifications</h3><ul><li>Brand: Columbia Tools</li><li>Part Number: AH7-3</li><li>Compatibility: 3-inch Angle Heads</li><li>Tool Group: Angle Head</li></ul>,,,taxable,,1,,,0,0,0.01,,,,0,,,13.25,0.79,,,,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_ah7_3_01.webp,,,AH7,,,,,,3,Columbia Tools,Size,"3""",,0,,Columbia Tools,AH7,,,NewCondition,columbia-tools,Columbia Tools,part,quote_only,parts,parts,1,AH7,Size,"3""","3""",,3,0,columbia-tools,columbia-angle-head,,,,Columbia Tools,"[{""label"": ""Brand"", ""value"": ""Columbia Tools""}, {""label"": ""Part Number"", ""value"": ""AH7-3""}, {""label"": ""Model"", ""value"": ""AH7""}, {""label"": ""Tool Groups"", ""value"": ""Angle Head""}, {""label"": ""Condition"", ""value"": ""New""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Columbia Tools 3-Inch Frame Tension Spring | AH7-3,Genuine Columbia Tools 3-inch frame tension spring for AH7 angle heads. Maintains proper mechanical tension for consistent drywall finishing.,Columbia Tools 3-inch frame tension spring,/product/columbia-tools-frame-tension-spring-3-inch-ah7-3/,,columbia-tools-frame-tension-spring-3-inch-ah7-3,Angle Head Parts,Columbia Angle Head,AH7-3,
variation,AH7-3.5,,"Frame Tension Spring - 3.5""",1,0,visible,This 3.5&quot; frame tension spring is a genuine Columbia Tools replacement part designed to maintain proper mechanical tension in 3.5-inch Columbia Angle Heads.,"<p>The Columbia Tools Frame Tension Spring (AH7-3.5) is a replacement component designed for 3.5-inch Columbia Angle Heads. This spring restores the mechanical tension required for consistent operation during drywall finishing.</p><h3>Features</h3><ul><li>Compatible with 3.5"" Columbia Angle Heads</li><li>Genuine Columbia Tools replacement part</li><li>Maintains mechanical tension for tool operation</li></ul>",,,taxable,,1,,,0,0,0.01,,,,0,,,14.50,0.79,,,,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_ah7_3_5_01.webp,,,AH7,,,,,,4,Columbia Tools,Size,"3.5""",,0,,Columbia Tools,AH7-3.5,,,NewCondition,columbia-tools,Columbia Tools,part,quote_only,parts,parts,1,AH7,Size,"3.5""","3.5""",,4,0,columbia-tools,columbia-angle-head,,,,Columbia Tools,"[{""label"":""Brand"",""value"":""Columbia Tools""},{""label"":""Part Number"",""value"":""AH7-3.5""},{""label"":""Model"",""value"":""AH7""},{""label"":""Tool Groups"",""value"":""Angle Head""},{""label"":""Size"",""value"":""3.5\""""},{""label"":""Condition"",""value"":""New""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Columbia Tools 3.5"" Frame Tension Spring | AH7-3.5","Replace your worn 3.5"" Columbia Angle Head spring with this genuine AH7-3.5 tension spring to maintain consistent tool operation.",Columbia AH7-3.5,/product/columbia-tools-frame-tension-spring-3-5-ah7-3-5/,,columbia-tools-frame-tension-spring-3-5-ah7-3-5,Angle Head Parts,Columbia Angle Head,AH7,
simple,CT127,,Extension Shaft Bracket,1,0,visible,The Columbia Tools CT127 Extension Shaft Bracket is a replacement component for the Columbia Automatic Taper body.,<p>The Columbia Tools CT127 Extension Shaft Bracket is a replacement part designed for use with the Columbia Automatic Taper body. This component serves as a structural support for the extension shaft assembly within the tool.</p>,,,taxable,,1,,,0,0,0.01,,,,1,,,21.95,19.39,Drywall Finishing Tools > Parts,"Automatic Taper Body, Columbia Tools, CT127, Repair Parts",,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_ct127_01.webp,,,,,,,,,307,Columbia Tools,,,,,,Columbia Tools,CT127,,,NewCondition,columbia-tools,Columbia Tools,part,quote_only,parts,parts,1,,,,,,,0,columbia-tools,columbia-automatic-taper-body,,,,Columbia Tools,"[{""label"": ""Brand"", ""value"": ""Columbia Tools""}, {""label"": ""Part Number"", ""value"": ""CT127""}, {""label"": ""Model"", ""value"": ""CT127""}, {""label"": ""Tool Groups"", ""value"": ""Automatic Taper Body""}, {""label"": ""Condition"", ""value"": ""New""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Columbia Tools CT127 Extension Shaft Bracket,Genuine Columbia Tools CT127 extension shaft bracket for the Automatic Taper body. Replacement part for drywall finishing tool maintenance.,Columbia CT127 extension shaft bracket,/product/columbia-tools-extension-shaft-bracket-ct127/,,columbia-tools-extension-shaft-bracket-ct127,Columbia Automatic Taper,Automatic Taper Body,CT127,
simple,MP33,,Filler Gasket,1,0,visible,The Columbia Tools MP33 Filler Gasket is a replacement part designed for the Columbia Hot Mud Pump.,<p>The Columbia Tools MP33 Filler Gasket is a replacement part designed for use with the Columbia Hot Mud Pump. This gasket is engineered to maintain the seal within the pump system.</p>,,,taxable,,1,,,0,0,0.006,0.1,1.75,3,1,,,2.00,1.30,Drywall Finishing Tools > Parts,"Columbia Tools, Hot Mud Pump, MP33, Repair Parts",,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_mp33_01.webp,,,,,,,,,213,Columbia Tools,,,,,,Columbia Tools,MP33,,,NewCondition,columbia-tools,Columbia Tools,part,quote_only,parts,parts,1,,,,,,,0,columbia-tools,columbia-hot-mud-pump,,,,Columbia Tools,"[{""label"": ""Brand"", ""value"": ""Columbia Tools""}, {""label"": ""Part Number"", ""value"": ""MP33""}, {""label"": ""Model"", ""value"": ""MP33""}, {""label"": ""Tool Groups"", ""value"": ""Hot Mud Pump""}, {""label"": ""Condition"", ""value"": ""New""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Columbia Tools MP33 Filler Gasket | Hot Mud Pump Part,Genuine Columbia Tools MP33 filler gasket for the Columbia Hot Mud Pump. Essential replacement part for maintaining pump seal integrity.,Columbia MP33 filler gasket,/product/columbia-tools-filler-gasket-mp33/,,columbia-tools-filler-gasket-mp33,Columbia Hot Mud Pump,Replacement Parts,MP33,
